"company","quartile","country","economic_sector","sub_industry","pollution","metric","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","wa_10","wa_11","wa_12","wa_13","wa_14","wa_15","wa_16","wa_17","wa_18","wa_19","wa_20"
"ACCENTURE PLC","Medium","Ireland","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",29.46,31.69,37.67,35.17,41.17,44.66,34.18,45.01,41.13,35.58,40.29,0.200796191013304,0.252613103259614,0.316065640542525,0.305241413481401,0.366146524411179,0.390117761761653,0.308887288550654,0.461606617843018,0.446560142143016,0.419648926410628,0.637726496514375
"AIRBUS SE","Huge","Netherlands","Industrials","Aerospace & Defense","polluter","DIVIDEND PAYOUT PER SHARE",32.35,35.43,40.03,40.57,40.1,37.88,NA,40.4,41.88,0,0,1.4147002072633,1.58733029274583,1.85515666818378,1.98779098115801,1.92116918481262,1.94581970622765,NA,2.23279959739904,2.24406491074445,0,0
"AKZO NOBEL N.V.","Large","Netherlands","Basic Materials","Speciality Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",46.51,71.08,NA,48.31,64.97,39.24,42.68,75.61,48.47,78.31,59.25,0.497293936202191,0.720997016613877,NA,0.396624947621362,0.521632172338948,0.300691827468613,0.315922440896053,0.590917270317517,0.428889882396612,0.452185799824543,0.361171208816903
"ALSTOM SA","Large","France","Industrials","Construction Machinery & Heavy Transportation Equipment","polluter","DIVIDEND PAYOUT PER SHARE",29.45,39.49,32.13,31.57,0,0,0,18.97,16.29,0,0,0.407817004425121,0.595844892418703,0.50281208199199,0.516944253083667,0,0,0,0.134659752208207,0.109920485063609,0,0
"AP MOELLER MAERSK","Huge","Denmark","Industrials","Marine Transportation","polluter","DIVIDEND PAYOUT PER SHARE",16.5,28.82,24.18,31.55,NA,NA,NA,NA,15.53,NA,34.99,3.37841110740687,6.13337841991253,5.33429670173549,6.92324514089773,NA,NA,NA,NA,2.76728604919707,NA,5.72599398594485
"ARCELORMITTAL SA","Huge","Luxembourg","Basic Materials","Steel","polluter","DIVIDEND PAYOUT PER SHARE",34.53,66.1,NA,NA,NA,0,0,2.14,4.14,0,NA,1.77623865821313,3.14541441822846,NA,NA,NA,0,0,0.0699453912237734,0.145412346894164,0,NA
"BASF SE","Huge","Germany","Basic Materials","Diversified Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",44.35,37.09,48.96,51.22,49.89,66.81,67.93,49.96,68.66,35.99,NA,1.44441445108635,1.19693358443347,1.64167992973475,1.77804907129682,1.82907301011603,2.37140217923242,2.45079201681417,1.91811183640853,2.80732917854823,1.40262861778281,NA
"CAPGEMINI SE","Medium","France","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",54.64,38.02,42.11,39.36,32.66,20.23,28.52,34.84,38.91,26.21,34.15,0.274765715210495,0.202258024948922,0.213707300426337,0.197288589945774,0.179938364984463,0.154115489396372,0.20842420514619,0.257505274594172,0.290362376887129,0.208224792747641,0.344282828862876
"CARGOTEC CORP","Small","Finland","Industrials","Industrial Machinery & Supplies & Components","polluter","DIVIDEND PAYOUT PER SHARE",50.41,41.32,49.66,47.15,49.55,36.2,48.71,49.75,66.36,86.39,NA,0.0785422433973015,0.0659461888599857,0.0832483860632486,0.0825430629517471,0.0912506259370291,0.0630348785102595,0.084356469525658,0.0849143385716657,0.114267790962467,0.164059200688116,NA
"CORBION NV","Small","Netherlands","Basic Materials","Speciality Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",62.5,NA,NA,NA,NA,65.82,57.54,38.46,60.54,NA,45.12,0.0889204113969061,NA,NA,NA,NA,0.0268021356055607,0.0229415969105944,0.0155673153501448,0.027723716762406,NA,0.0230225639915962
"CRH PLC","Large","Ireland","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",NA,75.67,81.7,NA,79.21,70.12,43.29,39.05,23.81,34.5,76.87,NA,0.849764807822431,0.906591040263883,NA,0.917226977344022,1.14839666940587,0.663611578695691,0.616871240847672,0.40578547905146,0.59568918609239,1.35634352382946
"DAMPSKIBS NORDEN AS","Large","Denmark","Industrials","Marine Transportation","polluter","DIVIDEND PAYOUT PER SHARE",24.34,35.25,NA,NA,0,0,0,0,44.43,77.29,62.47,0.169088248636369,0.253311523618681,NA,NA,0,0,0,0,0.205677406107655,0.416010336789819,0.333910905444539
"DASSAULT SYSTEMES","Small","France","Technology","Application Software","polluter","DIVIDEND PAYOUT PER SHARE",29.19,29.41,29.41,29.42,37.04,29.51,30.09,28.47,29.49,29.51,29.7,0.0484986805131973,0.0537555034915044,0.0550677350853559,0.0660624445449063,0.0959775977048224,0.0939988111579915,0.0998854721650496,0.0986936594080346,0.111820113653292,0.187914443069092,0.182914605619993
"DEUTSCHE POST AG","Huge","Germany","Industrials","Air Freight & Logistics","polluter","DIVIDEND PAYOUT PER SHARE",30.95,72.92,51.04,46.25,49.64,66.82,47.87,51.29,68.18,54.11,56.05,0.633092471057958,1.44605739957363,0.887567340984863,0.864965088414977,0.926898777285168,1.23192592982696,0.84279048402789,0.935133077539374,1.58687293295124,1.24537534871527,1.42585822895664
"EATON CORP PLC","Large","Ireland","Industrials","Electrical Components & Equipment","polluter","DIVIDEND PAYOUT PER SHARE",39.49,34.52,43.93,43.03,52.12,51.93,54.15,36.7,53.77,54.05,83.67,0.355530398134547,0.30757752702248,0.804141008464871,0.830665559423295,0.919997313741689,0.818746482217973,0.793753939702764,0.595042656775065,0.80404785341312,0.812715952446652,1.26292415168526
"ENI GROUP","Huge","Italy","Energy","Integrated Oil & Gas","polluter","DIVIDEND PAYOUT PER SHARE",57.47,55.03,50.23,77.23,NA,NA,NA,85.39,72.44,NA,NA,4.04334458274561,4.02567326863857,3.58089236310208,5.64299828131941,NA,NA,NA,4.74113200604996,4.02503003238933,NA,NA
"EXPERIAN PLC","Small","Ireland","Industrials","Research & Consulting Services","non-polluter","DIVIDEND PAYOUT PER SHARE",40.78,44.08,43.35,84.98,42.17,45.98,50.67,45.96,58.16,61.29,63.77,0.0968030668008567,0.10502224815556,0.112131461987281,0.231253342340672,0.116841626830057,0.123063023249485,0.124649698695401,0.139588031172758,0.162779307474205,0.173045954919038,0.216972898795393
"FERROVIAL SA","Huge","Spain","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",11.44,26.01,NA,69.72,NA,72.1,NA,NA,NA,NA,NA,0.261235979306115,0.290053883055516,NA,0.819962876762194,NA,0.894384152839531,NA,NA,NA,NA,NA
"FLSMIDTH & CO A/S","Large","Denmark","Basic Materials","Construction Machinery & Heavy Transportation Equipment","polluter","DIVIDEND PAYOUT PER SHARE",36.89,33.09,35.86,NA,54.8,46.55,56.73,NA,70.16,0,47.76,0.446978682378669,0.43199408015509,0.586420655465335,NA,0.737016575063568,0.556766271308584,0.636149370798692,NA,0.700661094376453,0,0.441013597160743
"FOMENTO CONSTRUCCION","Large","Spain","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",44.55,NA,0,0,0,0,0,0,60.17,57.74,61.02,0.527686390313465,NA,0,0,0,0,0,0,0.289612998188847,0.320537826378641,0.359520098951825
"FRAPORT AG","Medium","Germany","Industrials","Airport Services","non-polluter","DIVIDEND PAYOUT PER SHARE",43.71,47.71,48.27,52.13,53.06,45.06,36.9,41.96,38.99,0,0,0.221022967292775,0.233037918027162,0.244979378145821,0.270623642548391,0.252621324923594,0.204169476455341,0.158997414706906,0.226804990637452,0.215662037951357,0,0
"HAMBURGER HAFEN","Small","Germany","Industrials","Marine Ports & Services","non-polluter","DIVIDEND PAYOUT PER SHARE",52.38,52.85,65.26,60.3,64.22,64.38,58.78,60.13,51.84,49.31,77.41,0.0488198884538372,0.0503361260019284,0.0595905729585198,0.0560112781764968,0.0587035234971104,0.055898982480968,0.0495935834864421,0.0526523706396834,0.0475905423878915,0.0568307001562838,0.0911624558005202
"HEIDELBERGCEMENT AG","Huge","Germany","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",13.66,18.82,29.26,15.09,29.01,30.53,42.58,31.96,36.45,10.91,NA,0.204484326157631,0.286921846510381,0.426750642891593,0.218634240574402,0.422010426836218,0.432698737228576,0.75183181440646,0.544925252758516,0.627697641829469,0.193597815551655,NA
"HELLEN PETR HOLD","Medium","Greece","Energy","Oil & Gas Refining & Marketing","polluter","DIVIDEND PAYOUT PER SHARE",76.27,NA,53.57,0,NA,0,18.54,32.05,NA,95.04,NA,0.288302137420132,NA,0.209295200217343,0,NA,0,0.0640821434436719,0.113798147577526,NA,0.309891465928076,NA
"HOCHTIEF","Large","Germany","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",46.4,0,46.51,63.18,52.18,64.29,52.16,51.62,60.24,NA,69.08,0.378528366425477,0,0.411099946596379,0.506243360160259,0.413599907108502,0.432938663068657,0.349958355485134,0.341115167688006,0.419232966705692,NA,0.546655989772257
"IMERYS","Small","France","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",37.62,40,38.73,49.95,46.25,NA,50.27,44.53,30.44,NA,NA,0.0913127238460297,0.103985351994526,0.0975002318345579,0.132340798272418,0.13208089992062,NA,0.162729234060287,0.164662796631485,0.11057032163945,NA,NA
"INDRA SISTEMAS SA","Small","Spain","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",58.6,61.08,42.07,48.18,0,0,0,0,0,0,0,0.0949782485570307,0.110117208640189,0.0799572606734054,0.0973545153551981,0,0,0,0,0,0,0
"JOHNSON CONTROLS INT","Large","Ireland","Industrials","Building Products","polluter","DIVIDEND PAYOUT PER SHARE",28.73,33.67,NA,46.95,19.06,80.41,NA,55.27,43.73,16.54,82.78,0.413778932938765,0.461377676374044,NA,0.313057168414419,0.119305618340551,0.509316245108526,NA,1.43635652515034,1.03604315237247,0.324263708302938,1.62424200382969
"KONE CORPORATION","Small","Finland","Industrials","Industrial Machinery & Supplies & Components","polluter","DIVIDEND PAYOUT PER SHARE",42.86,55.56,NA,NA,81.49,69.68,77.58,87.5,NA,94.24,NA,0.0942986148220203,0.134531173700498,NA,NA,0.263365956380301,0.258123700046399,0.288770119379805,0.327370032145659,NA,0.363552188641867,NA
"KONECRANES ABP","Small","Finland","Industrials","Industrial Machinery & Supplies & Components","polluter","DIVIDEND PAYOUT PER SHARE",74.07,90.09,71.52,NA,81.72,NA,NA,41.62,92.9,63.26,NA,0.0465662415821016,0.0670598081467488,0.0571430937498759,NA,0.0609618921598489,NA,NA,0.0718092200254802,0.155498152472336,0.109417583657081,NA
"KONINKLIJKE BAM GRP","Medium","Netherlands","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",37.5,29.63,NA,26.64,0,53.23,51.98,NA,NA,0,0,0.144897231726692,0.111767706137855,NA,0.07463831733727,0,0.125891445380827,0.115670695514882,NA,NA,0,0
"KONINKLIJKE VOPAK NV","Small","Netherlands","Energy","Oil & Gas Storage & Transportation","polluter","DIVIDEND PAYOUT PER SHARE",33.98,25.97,34.86,36.67,46.44,45.22,25.07,56.89,55.18,25.71,50.46,0.0719977476544624,0.0581883621854395,0.0920095189623334,0.0964470233757509,0.131835791253185,0.127468851967747,0.0680508959913506,0.145603117200284,0.147545400370838,0.0756018131248094,0.157215290360733
"L'AIR LIQUIDE","Large","France","Basic Materials","Industrial Gases","polluter","DIVIDEND PAYOUT PER SHARE",47.09,46.04,48.33,48.31,52.56,50.75,50.87,51.37,53.5,56.76,53.26,0.579966708707653,0.584077066998334,0.630088111355285,0.655915332436077,0.737714591745983,0.748933508100361,1.08991886378777,1.0490058156335,1.08310900982245,1.14231830515624,1.06790674688321
"LANXESS AG","Medium","Germany","Basic Materials","Diversified Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",15.35,13.98,16.19,NA,94.12,33.28,33.37,84.16,19.11,40.94,9.78,0.0467374075397315,0.049724216316922,0.0626059504724934,NA,0.342739005792002,0.117330874425212,0.153536280594584,0.419606975882707,0.0779372751115081,0.158884358307464,0.040217365235461
"LEONARDO SPA","Huge","Italy","Industrials","Aerospace & Defense","polluter","DIVIDEND PAYOUT PER SHARE",48.01,0,0,0,0,0,15.93,29.57,15.8,9.8,0,0.809256286955556,0,0,0,0,0,0.187636680958423,0.354906313182654,0.18649412489551,0.117206377503897,0
"METSO OUTOTEC","Small","Finland","Industrials","Construction Machinery & Heavy Transportation Equipment","polluter","DIVIDEND PAYOUT PER SHARE",NA,48.57,42.55,39.27,NA,0,0,0,0,98.2,NA,NA,0.0355255448604195,0.03547896046052,0.0317718433552645,NA,0,0,0,0,0.0641746254921125,NA
"NESTE OYJ","Medium","Finland","Energy","Oil & Gas Refining & Marketing","polluter","DIVIDEND PAYOUT PER SHARE",39.33,56.45,61.94,31.81,NA,45.8,35.4,47.73,49.98,43.79,86.22,0.144525160000523,0.217007995174337,0.240961093440725,0.122131320547901,NA,0.159257753723699,0.127815221386489,0.185472935674019,0.198740051534346,0.198001797761033,0.405370730722639
"NOKIA OYJ","Huge","Finland","Technology","Communications Equipment","non-polluter","DIVIDEND PAYOUT PER SHARE",80,NA,0,NA,44.76,38.7,NA,NA,NA,0,0,1.66319568415146,NA,0,NA,0.435196426850703,0.363918108597366,NA,NA,NA,0,0
"NOVOZYMES A/S","Medium","Denmark","Basic Materials","Specialty Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",31.07,32.82,34.27,35.65,37.04,37.94,39.41,42.61,45.01,47.46,52.11,0.215538307288842,0.237015476975559,0.269991356092677,0.313341550175494,0.352243105410272,0.338047334473141,0.34693224320889,0.376016996654115,0.40994343976722,0.424131585072116,0.480254402636486
"OMV AG","Large","Austria","Energy","Integrated Oil & Gas","polluter","DIVIDEND PAYOUT PER SHARE",32.67,32.54,28.71,35.08,NA,NA,NA,NA,39.75,34.06,48.06,0.474455867055486,0.488710559534282,0.459078684688648,0.603098782611405,NA,NA,NA,NA,0.69867457847472,0.62671597395275,1.11112295374455
"OUTOKUMPU OYJ","Medium","Finland","Basic Materials","Steel","polluter","DIVIDEND PAYOUT PER SHARE",NA,0,0,0,0,0,28.78,26.23,47.43,0,0,NA,0,0,0,0,0,0.0812048789695188,0.0734559735890877,0.132434683141193,0,0
"POSTNL","Medium","Netherlands","Industrials","Air Freight & Logistics","polluter","DIVIDEND PAYOUT PER SHARE",61.36,NA,0,0,0,0,19.03,69.72,NA,NA,72.51,0.275890600484017,NA,0,0,0,0,0.0176135907310192,0.0716246273177079,NA,NA,0.0766877684687537
"REPSOL SA","Huge","Spain","Energy","Integrated Oil & Gas","polluter","DIVIDEND PAYOUT PER SHARE",27.34,62.36,55.78,NA,NA,NA,65.11,64.19,62.33,NA,NA,0.994176206320969,2.27007556476153,1.81847357130011,NA,NA,NA,1.90834437837121,1.79407630784908,1.72153320100731,NA,NA
"REXEL S.A.","Medium","France","Industrials","Trading Companies & Distributors","non-polluter","DIVIDEND PAYOUT PER SHARE",45.98,54.17,63.51,98.76,NA,NA,87.45,NA,18.04,0,NA,0.235588712517753,0.276557911703299,0.340902465095767,0.561332270228552,NA,NA,0.453457616487247,NA,0.0886340986335747,0,NA
"RHI MAGNES","Small","Austria","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",18.8,24.59,26.32,47.71,58.56,NA,40.36,NA,42.66,17.8,NA,0.014059470399938,0.020735897722803,0.0241047703002715,0.0418714472045712,0.0537121394603136,NA,0.032423741155874,NA,0.069756596632639,0.0258932988662375,NA
"SACYR SA","Large","Spain","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",0,NA,0,0,0,13.84,22.75,21.26,20.56,NA,NA,0,NA,0,0,0,0.0687715437926999,0.109467677440238,0.135649914481066,0.129087456292416,NA,NA
"SBM OFFSHORE NV","Small","Netherlands","Energy","Oil & Gas Equipment & Services","polluter","DIVIDEND PAYOUT PER SHARE",44,0,0,0,0,NA,27.51,NA,37.36,45.41,83.25,0.0924148962406046,0,0,0,0,NA,0.145733216921637,NA,0.157633848953082,0.192766372145231,0.361829016560681
"SCHNEIDER ELECTRIC","Huge","France","Industrials","Electrical Components & Equipment","polluter","DIVIDEND PAYOUT PER SHARE",48.56,50.15,55.19,54.54,56.6,80.79,65.42,57.07,55.78,58.24,67.72,0.807819998461,0.919419274918006,1.0049117251988,1.05238058214721,1.16999402313039,1.66433587077332,1.25306272184818,1.07916331442317,1.08921853400644,1.16100926626943,1.54631435314301
"SEAGATE TECHNOLOGY","Medium","Ireland","Technology","Technology Hardware, Storage & Peripherals","non-polluter","DIVIDEND PAYOUT PER SHARE",0,38.16,7.39,36.82,31.86,NA,NA,86.09,36.68,42.16,67.63,0,0.179785644453169,0.0379694139707596,0.1771771972321,0.151871136150213,NA,NA,0.373387507762482,0.16015450702109,0.151891501479804,0.253919430760908
"SIEMENS AG","Huge","Germany","Technology","Industrial Conglomerates","polluter","DIVIDEND PAYOUT PER SHARE",60.13,42.61,58.94,59.09,51.8,39.58,54.44,49.7,57.66,60.85,70.03,3.29412382858727,2.2916394041707,3.25924814474175,3.19391504079828,2.78813103556844,2.39603982224629,3.24644283791006,3.27374309716465,3.8233839426056,4.14908613424733,4.07050478985426
"SOCIETE B I C SA","Small","France","Industrials","Office Services & Supplies","non-polluter","DIVIDEND PAYOUT PER SHARE",44.29,80,46.6,50.65,51.18,49.34,64.8,55.62,90.75,62.68,86.38,0.0463268559485579,0.0818606468361574,0.0496637046693857,0.0569901873643455,0.0611475784616158,0.0601762554392804,0.0758088920875367,0.0616233679337437,0.0980352993156474,0.0656114817355488,0.0853412222431082
"STMICROELECTRONICS","Medium","Netherlands","Technology","Semiconductors","polluter","DIVIDEND PAYOUT PER SHARE",29.12,54.29,NA,NA,NA,NA,NA,86.43,10.68,46.79,19.25,0.15690344235785,0.243193986481828,NA,NA,NA,NA,NA,0.366937270116852,0.0516503369389342,0.237981756218103,0.112315332759278
"STORA ENSO OYJ","Large","Finland","Basic Materials","Paper Products","polluter","DIVIDEND PAYOUT PER SHARE",25.77,69.77,49.18,NA,NA,32.25,63.02,51.73,38.92,26.88,37.79,0.18453468405281,0.478238425964882,0.352625788940856,NA,NA,0.200855924523339,0.3722263943811,0.300980540793953,0.240531723199581,0.186579982016604,0.314542851514511
"STRABAG SE","Medium","Austria","Industrials","Construction & Engineering","polluter","DIVIDEND PAYOUT PER SHARE",35.95,34.29,34.33,40.7,40.09,42.67,35.11,47.82,37.73,24.84,NA,0.202504998089563,0.186400309710613,0.180564994704948,0.230539543419415,0.212446025313435,0.228942983763771,0.173485719830132,0.26024646222968,0.210196810991821,0.139497436991763,NA
"TENARIS S.A.","Medium","Luxembourg","Energy","Oil & Gas Equipment & Services","polluter","DIVIDEND PAYOUT PER SHARE",33.16,35.02,29.42,31.87,44.45,NA,NA,86.11,57.32,20.77,NA,0.19423073617723,0.210522585308443,0.185846801630842,0.199908275617403,0.319700630387199,NA,NA,0.512403222260829,0.341438525289023,0.125552333369912,NA
"THALES SA","Large","France","Industrials","Aerospace & Defense","polluter","DIVIDEND PAYOUT PER SHARE",NA,30,32.73,39.3,32.11,36.99,35.65,45.08,45.01,11.36,77.44,NA,0.321302665159178,0.353747337791759,0.444818483401597,0.324117761348449,0.391597289947639,0.377492451763592,0.507462109321626,0.537895880418697,0.159164950107982,1.1481517976905
"THYSSENKRUPP AG","Huge","Germany","Basic Materials","Steel","polluter","DIVIDEND PAYOUT PER SHARE",25.42,NA,0,0,29.18,27.47,28.68,NA,NA,0,0,0.607272977956576,NA,0,0,0.530059068508339,0.475382275823576,0.458039947072767,NA,NA,0,0
"TIETOEVRY","Small","Finland","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",NA,89.29,NA,NA,NA,NA,94.14,95.74,86.87,61.97,NA,NA,0.0584842258279259,NA,NA,NA,NA,0.0479553560669111,0.0538197557514984,0.0495157273579757,0.109843872917382,NA
"TOTALENERG","Huge","France","Energy","Integrated Oil & Gas","polluter","DIVIDEND PAYOUT PER SHARE",48.2,41.76,49.37,63.85,NA,NA,NA,84.18,70.66,71.41,NA,3.8008743676147,3.60732395504324,4.44093698118628,5.96800937928615,NA,NA,NA,8.34912100034714,7.48182107206562,7.88711125307818,NA
"UPM-KYMMENE OYJ","Large","Finland","Basic Materials","Paper Products","polluter","DIVIDEND PAYOUT PER SHARE",50.93,68.18,NA,94.53,72.68,43.68,57.66,63.04,46.38,65.35,NA,0.379579136513593,0.540061748281165,NA,0.726549974036405,0.526363618723246,0.308240550979992,0.378611586427465,0.399245498419347,0.306226635373627,0.434067047038638,NA
"VALLOUREC SA","Medium","France","Energy","Oil & Gas Equipment & Services","polluter","DIVIDEND PAYOUT PER SHARE",36.11,38.24,38.49,38.52,NA,0,0,0,0,0,0,0.149811928332126,0.184294689914054,0.183867847044301,0.1922319770533,NA,0,0,0,0,0,0
"VESTAS WIND SYSTEMS","Huge","Denmark","Energy","Heavy Electrical Equipment","non-polluter","DIVIDEND PAYOUT PER SHARE",0,0,0,0,29.22,29.49,29.54,29.35,29.27,29.78,29.05,0,0,0,0,0.78696636780891,0.954475880272207,1.04148808130361,1.16518747056875,1.23276552003795,1.44457272473139,1.85197638917244
"WARTSILA OYJ","Small","Finland","Industrials","Industrial Machinery & Supplies & Components","polluter","DIVIDEND PAYOUT PER SHARE",44.76,62.94,58.14,52.97,65.37,53.31,72.84,70.88,73.58,NA,88.32,0.113421595775928,0.150126025443166,0.151790432519168,0.14738815573513,0.177962450427322,0.148867519744552,0.186484244317498,0.194697552179791,0.211845733267544,NA,0.256831423808684
